H&P : question;H&P : réponse;Distracteur 1;Distracteur 2;
Quelle technique romaine mêle mortier et pierres ?;Le blocage (Opus incertum);L'appareil réticulé (Opus reticulatum);Le coffrage glissant (Opus caementicium);
Quel temple cambodgien est considéré comme le plus grand édifice religieux du monde ?;Angkor Vat;Bayon;Borobudur;
À quel mouvement correspond l’ambition de réunir toutes les formes d’art ?;Le Bauhaus;L'Art nouveau;De Stijl;
Quel aqueduc historique de Montpellier, construit au XVIIIe siècle, est connu pour ses arches ?;L'aqueduc Saint-Clément, dit des Arceaux;L'aqueduc du Peyrou;L'aqueduc de Castries;
Quel palais parisien fut l'ancienne résidence de Madame de Pompadour ?;Le palais de l'Élysée;Le Palais-Royal;L'Hôtel de Matignon;
Quel style architectural s’épanouit entre 1563 et 1760 en Europe ?;Le baroque;Le maniérisme;Le rococo;
Le sanatorium de Druzhba appartient-il au style Égyptien, Romain, Islamique ou Brutaliste ?;Brutaliste;Islamique;Romain;
Comment nomme-t-on la surface extérieure d'un arc ?;L'extrados;L'intrados;Le sommier;
Quel style architectural, apparu au XVIIe siècle, est caractérisé par l'opulence et la dramatisation, souvent lié à la Contre-Réforme ?;Le style baroque;Le style rococo;Le style maniériste;
Quel architecte romantique restaure le château de Pierrefonds pour en faire l'étendard d'un Moyen-Âge sublimé ? ;Eugène Viollet-le-Duc;Prosper Mérimée;Jean-Baptiste Lassus;
Dans quel édifice parisien peut-on trouver un plafond peint par Marc Chagall ?;L'Opéra Garnier;Le Théâtre du Châtelet;Le Palais de Tokyo;
Comment appelle-t-on le vaisseau transversal qui coupe l'axe de certaines églises ?;Le transept;Le narthex;Le déambulatoire;
Le Corbusier a défini 5 principes de l'architecture : plan libre, façade libre, pilotis, toit-terrasse et...? Quel est le cinquième ?;Fenêtre en longueur;Le toit-terrasse;La rampe intérieure;
A quel mouvement architectural appartient la bibliothèque Geisel ?;Brutalisme;Métabolisme;Déconstructivisme;
De quoi accolade, Tudor, talon et polylobé sont-ils des variantes ?;Des variantes d'arcs;Des variantes de voûtes;Des variantes de colonnes;
Quelle villa romaine sur le Pincio accueille l’Académie de France à Rome ?;La villa Médicis;La villa Borghèse;La villa Giulia;
Quel ensemble résidentiel en croissant est un exemple d'urbanisme géorgien à Bath ?;Le Royal Crescent;The Circus;Queen Square;
Quel château français possède un escalier à double révolution ?;Chambord;Chenonceau;Blois;
Quelle civilisation a popularisé et systématisé l'usage des arcs et voûtes dans l'architecture monumentale ?;La civilisation romaine;La civilisation étrusque;La civilisation mésopotamienne;
Quelle ville française est connue pour sa basilique de Fourvière et ses traboules ?;Lyon;Toulouse;Bordeaux;
Dans quelle ville est érigée la pyramide de Cestius ?;Rome;Alexandrie;Naples;
Quelle maison incarne l’Art nouveau à Bruxelles ?;La maison Horta;La maison Cauchie;La maison du Peuple;
Dans quel pays naît le mouvement De Stijl ?;Au Pays-Bas;En Allemagne;En Belgique;
À quel mouvement architectural correspond la Tour Chrysler à New York city ?;Art déco;Art nouveau;Style international;
Quelle ville antique située en Syrie fut partiellement détruite par l'État islamique en 2015 ?;Palmyre;Alep;Apamée;
Quel bâtiment emblématique proche de Saint-Étienne, conçu par Le Corbusier, est un exemple d'architecture moderne ?;La Maison de la Culture de Firminy;L'Unité d'Habitation de Firminy;L'église Saint-Pierre de Firminy;
Quelle fleur orne les chapiteaux lotiformes en Égypte ?;La fleur de lotus;La fleur de papyrus;La fleur de lys;
Quel temple monolithique indien, creusé dans la roche, est dédié à Shiva et situé à Ellora ?;Le temple de Kailâsa;Le temple de Brihadîshvara;Le temple de Khajurâho;
Quel type de tombe égyptienne précède les pyramides ?;Le mastaba;L'hypogée;Le cénotaphe;
À quel style appartient le Lake Shore Drive de Ludwig Mies van der Rohe à Chicago ?;Le style international;Le style Art déco;Le style brutaliste;
De quel style architectural le bossage est-il une des principales caractéristiques ?;Le maniérisme;Le style rustique;Le baroque;
Comment appelle-t-on les revêtements en bois placés sur les murs intérieurs des habitations pour les habiller ?;Les lambris;Les boiseries;Les plinthes;
Quelle est l'église restaurée par Viollet-le-Duc à Toulouse ;Eglise Saint-Sernin;Église des Jacobins;Basilique de la Daurade;
"Quelle forteresse emblématique de l'époque moghole, construite au XVIIe siècle à Delhi, est surnommée ""Lal Qila"" en raison de sa pierre rouge ?";Le Red Fort;Le fort d'Agra;Le fort d'Amber;
Combien y a-t-il de monuments historiques en France (2022) ? 15 648, 45 648, 115 648, 135 648;45 648 (30 840 inscrits, 14 808 classés);15 648;115 648;
Comment appelle-t-on les armatures en poteaux et traverses en bois dont les interstices sont comblés avec un enduit à la chaux ?;Un colombage;Un pan de bois;Un torchis;
À quel siècle fut bâti le Machu Picchu ?;Au XVe siècle;Au XIIIe siècle;Au XVIe siècle;
Quelle ville africaine est célèbre pour ses façades décorées et peintes en ocre ?;Oualata;Djenné;Tombouctou;
Laquelle de ces piscines parisiennes n'est pas de style art déco : Edouard Pailleron, Pontoise, Georges Vallerey ou Molitor ?;Georges Vallerey;Molitor;Pontoise;
Quel monument londonien l'architecte anglais Sir Charles Barry construit-il pour en faire un chef-d'œuvre historiciste ? ;Le Parlement de Londres;La Tour de Londres;Le Royal Albert Hall;
Quel style architectural, hérité de l'Antiquité, se caractérise par l'utilisation des ordres classiques et la symétrie ?;L'architecture classique;L'architecture néo-gothique;L'architecture Renaissance;
Quel palais bruxellois, œuvre majeure de l'art nouveau, a une salle à manger recouverte de mosaïques de Gustave Klimt ?;Le palais Stoclet;Le palais de Justice;Le palais des Beaux-Arts;
Quelle galerie couverte emblématique de Milan fut inaugurée en 1878 ?;La Galerie Victor Emmanuel II;La Galerie Umberto Ier;La Galerie Vittorio Emanuele III;
Quel est l'unique bâtiment construit par Le Corbusier aux États-Unis ?;Le Carpenter Center;Le Musée Guggenheim;La Farnsworth House;
